insee;CS1.1.1.1;CS1.1.1.2;CS1.1.2.1;CS1.1.2.2;CS1.2.1;CS1.2.2;CS2.1.1.1;CS2.1.1.2;CS2.1.1.3;CS2.1.2;CS2.1.3;CS2.1.3.1;CS2.1.3.2;CS2.2.1;CS2.2.1.1;CS2.2.1.2;CS2.2.1.4;CS2.2.1.5;CS2.2.2
58009;1.691;;0.563;;;;0.336;;;;;0.1;;;282.79;3.268;220.495;;
58013;1.39;;1.874;;;;;;;;;;;;203.35;2.416;310.244;;
58014;1.797;0.459;1.209;;;;;;;;;;;;183.828;0.942;564.681;;
58018;0.429;;0.438;;;;;;;;;;;;124.69;1.191;493.048;;
58027;1.099;;0.462;;;;2.351;;;;;;;;730.271;2.758;129.033;;
58042;0.314;;;;;;;;;;;0.453;;;73.215;0.764;583.844;;
58045;2.286;;2.642;;;;;;;;;24.082;;;354.851;3.827;326.97;;
58051;2.793;;2.491;;;;;;;;;;;;826.138;6.416;432.822;;
58056;1.036;;1.173;;;;;;;;;1.929;;;210.831;2.403;438.962;;
58059;0.739;0.28;0.714;;;;0.508;;;;;0.631;;;261.148;1.396;524.773;;
58061;2.024;;2.4;;;;;;;;;27.078;;;284.919;4.064;466.863;;
58067;0.919;;;;;;;;;;;1.873;;;446.476;11.048;584.604;;
58088;1.415;0.304;0.68;;;;0.126;;;;;;;;349.488;5.355;269.175;;
58101;4.002;;4.842;;;;1.936;;;;;;;;393.316;2.718;311.152;;
58112;2.708;;2.784;;;;;;;;;0.524;;;938.706;1.393;716.789;;
58117;;;;;;;;;;;;;;;44.907;;56.898;;
58121;0.885;0.91;1.637;;;;;;;;;;;;758.765;1.258;175.532;;
58124;1.52;0.054;0.775;;;;0.418;;;;;1.331;;;411.447;3.158;863.573;;
58126;2.12;;0.986;;;;;;;;;;;;463.729;4.822;471.047;;
58127;1.148;;0.17;;;;0.281;;;;;;;;411.192;3.864;495.194;;
58131;0.022;;;;;;;;;;;;;;102.032;;18.989;;
58143;1.503;;1.199;;;;;;;;;;;;253.121;9.476;249.214;;
58147;3.719;;1.511;;;;;;;;;;;;1661.882;4.793;406.86;;
58155;0.482;;0.482;;;;0.498;;;;;;;;39.632;2.548;622.544;;
58160;3.623;;2.183;;;;0.606;;;;;0.342;;;822.656;16.162;329.511;;
58164;0.769;;0.69;;;;;;;;;9.522;;;123.15;2.83;627.275;;
58174;1.944;;1.814;;;;;;;;;;;;521.262;4.913;491.883;;
58176;1.394;0.474;;;;;;;;;;;;;426.742;4.721;432.962;;
58186;0.513;;0.893;;;;;;;;;;;;228.445;5.215;169.508;;
58188;0.299;0.211;;;;;5.946;;;;;7.96;;;163.606;0.142;348.56;;
58189;1.509;;1.569;;;;1.207;;;;;;;;184.636;1.692;1780.569;;
58194;0.761;;;;;;0.355;;;;;;;;57.595;1.91;25.742;;
58196;1.716;;1.22;;;;0.949;;;;;0.282;;;1109.285;6.7;490.372;;
58203;0.997;;1.556;;;;;;;;;;;;257.901;1.012;436.652;;
58204;3.361;0.188;0.423;;;;;;;;;;;;695.447;6.556;1173.845;;
58207;4.471;0.221;3.245;;;;;;;;;1.644;;;1116.604;27.041;357.516;;
58212;1.703;;0.582;;;;0.259;;;;;;;;533.043;4.222;298.827;;
58214;2.319;0.236;1.578;;;;;;;;;0.066;;;534.837;33.735;271.954;;
58218;2.95;;2.193;;;;;;;;;;;;787.937;7.471;556.707;;
58220;0.997;;0.743;;;;0.069;;;;;1.004;;;175.987;20.761;623.924;;
58231;1.14;;;;;;;;;;;;;;772.164;4.156;97.873;;
58232;3.77;0.408;2.462;;;;0.29;;;;;0.6;;;1321.911;7.523;846.687;;
58233;1.972;;0.016;;;;;;;;;;;;751.108;4.224;312.946;;
58234;0.414;;0.435;;;;;;;;;;;;190.259;0.789;126.48;;
58238;2.135;;0.217;;;;0.81;;;;;;;;604.226;3.045;164.603;;
58239;0.33;;0.433;;;;;;;;;;;;493.94;0.113;294.5;;
58247;3.66;0.451;5.722;;;;0.894;;;;;;;;538.36;5.255;930.919;;
58254;0.954;0.289;0.139;;;;;;;;;;;;368.602;1.705;64.67;;
58269;3.121;;1.169;;;;;;;;;0.355;;;715.381;5.387;594.484;;
58273;2.228;;3.105;;;;2.056;;;;;;;;448.825;1.313;386.648;;
58278;3.84;1.126;3.028;;;;;;;;;;;;745.343;2.464;822.011;;
58279;1.659;0.274;0.864;;;;;;;;;;;;166.458;3.475;96.583;;
58298;0.928;;1.505;;;;1.479;;;;;;;;160.876;1.732;443.73;;
58300;2.072;0.138;1.709;;;;0.182;;;;;;;;598.167;3.249;326.827;;
58302;1.158;0.231;1.104;;;;2.768;;;;;0.132;;;144.79;4.145;1154.063;;
58303;3.707;0.514;2.069;;;;0.98;;;;;;;;973.999;25.803;747.919;;
